"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","id","max_div","max_tree"
"1","b1_conf",1.1675673045,1.08063,0.528912824902125,0.5096296653,0.4713167,2.1676105,1.00015879114279,2827.19419193983,2400.9266916586,"sub-1001",0,0
"2","b1_rt",-0.02371380523285,-0.0193653,0.0200760969503445,0.017113592496,-0.063792085,0.0014193835,1.00615238951571,1202.08761539884,1625.17484207502,"sub-1001",0,0
"3","b1_conf",0.111233072275,0.1110755,0.0183689894317978,0.0183382794,0.081707095,0.1409521,1.00259071281199,2952.45113736517,2862.51971038419,"sub-1004",0,0
"4","b1_rt",-0.105338112725,-0.105213,0.0221742575634414,0.02240379099,-0.14112115,-0.0695160700000001,1.00115083408684,2131.86605590106,2671.35048160891,"sub-1004",0,0
"5","b1_conf",0.0066889259763955,0.00663249,0.00920732429369197,0.0090081463899,-0.007676516,0.021556685,1.00236551215826,2970.30964060791,2560.56495174665,"sub-1005",1,0
"6","b1_rt",-0.03232616859275,-0.03183415,0.0112047658575104,0.01058020425,-0.05082777,-0.014905035,1.0003955826436,2673.38510141823,2268.37600355186,"sub-1005",1,0
"7","b1_conf",0.01306734137126,0.01302685,0.0083624930595486,0.00821249205,-0.00031654275,0.027243795,0.999756435178777,2923.81107489631,2685.98475457354,"sub-1017",0,0
"8","b1_rt",-0.025491610068525,-0.0247462,0.0108734327101301,0.01035499731,-0.044566745,-0.00923184500000001,1.00246403848903,2011.14729340735,1873.64470615894,"sub-1017",0,0
"9","b1_conf",-0.00354648935033,-0.003254125,0.00700123760658745,0.007435972887,-0.014731835,0.007671785,1.00662832013431,568.959238111443,1460.07293546505,"sub-1019",0,0
"10","b1_rt",-0.023617057450325,-0.02318245,0.0107147651598971,0.01064921928,-0.04189359,-0.0072706885,1.00517566918543,718.985350359094,1611.09553601025,"sub-1019",0,0
"11","b1_conf",0.0541263428325,0.0506896,0.0322515753588677,0.03170073081,0.007011768,0.11266035,1.0021886725351,3883.1739237332,2873.7517625298,"sub-1022",1,0
"12","b1_rt",-0.0042562673285875,-0.00377396,0.00816508401940534,0.007662165756,-0.018200845,0.0082691305,1.00185211224268,3245.42015358184,2407.60596988072,"sub-1022",1,0
"13","b1_conf",-0.0039741360973525,-0.00427202,0.00632772281543279,0.0061052845308,-0.013857565,0.0066262635,1.00033061137621,1892.17731895853,2157.17804874488,"sub-2014",0,0
"14","b1_rt",-0.02162096376,-0.0209536,0.00724512921995662,0.00675012954,-0.03486524,-0.01097655,1.00287197631252,1476.21742712694,1647.5614026535,"sub-2014",0,0
"15","b1_conf",0.254871375025,0.249485,0.0658269945081254,0.0646717533,0.15863555,0.3718229,1.00308212023284,3308.70140892482,2562.87497292608,"sub-2016",0,0
"16","b1_rt",-0.019313564789425,-0.0183806,0.00770333097582655,0.00723278997,-0.033151415,-0.00837361150000001,1.00086199886292,2166.17921930095,1915.58416101328,"sub-2016",0,0
"17","b1_conf",0.0041366125572795,0.00405563,0.00346097690698755,0.00343874244,-0.001442564,0.009816387,0.999583430656121,3282.89551432079,2876.63769114244,"sub-3011",0,0
"18","b1_rt",-0.02991436225,-0.02970855,0.00546500891966637,0.00534314214,-0.0390612,-0.021035545,1.0012011416484,2140.77115123139,2230.30242545798,"sub-3011",0,0
"19","b1_conf",0.0222433072271925,0.02138985,0.0117723241525027,0.01143017883,0.004111187,0.042885985,1.00181361873926,1877.32850289735,2546.12870620222,"sub-4007",0,0
"20","b1_rt",-0.0085166695209625,-0.00737699,0.00938679287156673,0.008998625874,-0.02562173,0.00464224749999999,1.00128414886601,1620.54645259436,1745.73859106385,"sub-4007",0,0
"21","b1_conf",0.0309733081353075,0.02946855,0.0205210489081382,0.01977855117,0.00021246155,0.06699853,1.00026151019633,3111.85006741752,2130.21783727627,"sub-4019",0,0
"22","b1_rt",-0.0348554021075,-0.03393575,0.0101858407025169,0.0088755849,-0.053261245,-0.020320935,1.00156960219056,2470.66662266808,1837.61381368847,"sub-4019",0,0
