hpt_levels	hpt_fit
30	0.05
30.0071	0.05
30.0142	0.05
30.0213	0.05
30.0284	0.05
30.0355	0.05
30.0426	0.05
30.0497	0.05
30.0568	0.05
30.0639	0.05
30.071	0.05
30.0781	0.05
30.0852	0.05
30.0923	0.05
30.0994	0.05
30.1065	0.05
30.1136	0.05
30.1207	0.05
30.1278	0.05
30.1349	0.05
30.142	0.05
30.1491	0.05
30.1562	0.05
30.1633	0.05
30.1704	0.05
30.1775	0.05
30.1846	0.05
30.1917	0.05
30.1988	0.05
30.2059	0.05
30.213	0.05
30.2201	0.05
30.2272	0.05
30.2343	0.05
30.2414	0.05
30.2485	0.05
30.2556	0.05
30.2627	0.05
30.2698	0.05
30.2769	0.05
30.284	0.05
30.2911	0.05
30.2982	0.05
30.3053	0.05
30.3124	0.05
30.3195	0.05
30.3266	0.05
30.3337	0.05
30.3408	0.05
30.3479	0.05
30.355	0.05
30.3621	0.05
30.3692	0.05
30.3763	0.05
30.3834	0.05
30.3905	0.05
30.3976	0.05
30.4047	0.05
30.4118	0.05
30.4189	0.05
30.426	0.05
30.4331	0.05
30.4402	0.05
30.4473	0.05
30.4544	0.05
30.4615	0.05
30.4686	0.05
30.4757	0.05
30.4828	0.05
30.4899	0.05
30.497	0.05
30.5041	0.05
30.5112	0.05
30.5183	0.05
30.5254	0.05
30.5325	0.05
30.5396	0.05
30.5467	0.05
30.5538	0.05
30.5609	0.05
30.568	0.05
30.5751	0.05
30.5822	0.05
30.5893	0.05
30.5964	0.05
30.6035	0.05
30.6106	0.05
30.6177	0.05
30.6248	0.05
30.6319	0.05
30.639	0.05
30.6461	0.05
30.6532	0.05
30.6603	0.05
30.6674	0.05
30.6745	0.05
30.6816	0.05
30.6887	0.05
30.6958	0.05
30.7029	0.05
30.71	0.05
30.7171	0.05
30.7242	0.05
30.7313	0.05
30.7384	0.05
30.7455	0.05
30.7526	0.05
30.7597	0.05
30.7668	0.05
30.7739	0.05
30.781	0.05
30.7881	0.05
30.7952	0.05
30.8023	0.05
30.8094	0.05
30.8165	0.05
30.8236	0.05
30.8307	0.05
30.8378	0.05
30.8449	0.05
30.852	0.05
30.8591	0.05
30.8662	0.05
30.8733	0.05
30.8804	0.05
30.8875	0.05
30.8946	0.05
30.9017	0.05
30.9088	0.05
30.9159	0.05
30.923	0.05
30.9301	0.05
30.9372	0.05
30.9443	0.05
30.9514	0.05
30.9585	0.05
30.9656	0.05
30.9727	0.05
30.9798	0.05
30.9869	0.05
30.994	0.05
31.0011	0.05
31.0082	0.05
31.0153	0.05
31.0224	0.05
31.0295	0.05
31.0366	0.05
31.0437	0.05
31.0508	0.05
31.0579	0.05
31.065	0.05
31.0721	0.05
31.0792	0.05
31.0863	0.05
31.0934	0.05
31.1005	0.05
31.1076	0.05
31.1147	0.05
31.1218	0.05
31.1289	0.05
31.136	0.05
31.1431	0.05
31.1502	0.05
31.1573	0.05
31.1644	0.05
31.1715	0.05
31.1786	0.05
31.1857	0.05
31.1928	0.05
31.1999	0.05
31.207	0.05
31.2141	0.05
31.2212	0.05
31.2283	0.05
31.2354	0.05
31.2425	0.05
31.2496	0.05
31.2567	0.05
31.2638	0.05
31.2709	0.05
31.278	0.05
31.2851	0.05
31.2922	0.05
31.2993	0.05
31.3064	0.05
31.3135	0.05
31.3206	0.05
31.3277	0.05
31.3348	0.05
31.3419	0.05
31.349	0.05
31.3561	0.05
31.3632	0.05
31.3703	0.05
31.3774	0.05
31.3845	0.05
31.3916	0.05
31.3987	0.05
31.4058	0.05
31.4129	0.05
31.42	0.05
31.4271	0.05
31.4342	0.05
31.4413	0.05
31.4484	0.05
31.4555	0.05
