"subject","group","age","gender","even_sub","language","trial","temp_cond","condition","tmax_temp","tmin_temp","TC","tempResp","PHS","tempRT","vasRating","catch","duration"
"sub-1001",1,24,"M",FALSE,1,1,1,1,33,29.5,7,1,0,0.491482,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,2,1,1,33,28.7,8.6,1,0,0.4901711,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,3,1,1,33,29.8,6.4,1,0,0.6038663,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,4,1,1,33,31.8,2.4,0,1,0.4961219,97.7864583333333,1,1e-04
"sub-1001",1,24,"M",FALSE,1,5,1,1,33,29.1,7.8,1,0,0.5446876,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,6,1,1,33,29.8,6.4,1,0,0.4936782,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,7,1,1,33,27.9,10.2,1,0,0.4686794,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,8,1,2,33,29.5,7,1,0,0.5214579,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,9,1,2,33,29.8,6.4,1,0,0.4404807,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,10,1,2,33,28.5,9,1,0,0.4255607,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,11,1,2,33,29.7,6.6,1,0,0.4027123,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,12,1,2,33,27.5,11,1,0,0.7696487,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,13,1,2,33,28.6,8.8,1,0,0.3671995,100,0,1.5
"sub-1001",1,24,"M",FALSE,1,14,1,2,33,31.8,2.4,0,1,0.4953057,100,1,1.5
"sub-1001",1,24,"M",FALSE,1,15,2,3,34.5,29.7,9.6,1,0,0.459296,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,16,2,3,34.5,31.8,5.4,0,1,0.6219899,100,1,1e-04
"sub-1001",1,24,"M",FALSE,1,17,2,3,34.5,29.5,10,1,0,0.3780399,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,18,2,3,34.5,28.4,12.2,1,0,0.3424922,100,0,1e-04
"sub-1001",1,24,"M",FALSE,1,19,2,3,34.5,26.3,16.4,1,0,0.8616516,100,0,1e-04
